date,actual,forecast
2018-06-01 21:30:00,2.7,2.7
2018-07-06 21:30:00,2.7,2.8
2018-08-03 21:30:00,2.7,2.7
2018-09-07 21:30:00,2.9,2.7
2018-10-05 21:30:00,2.8,2.8
2018-11-02 21:30:00,3.1,3.1
2018-12-07 22:30:00,3.1,3.1
2019-01-04 22:30:00,3.3,3.0
2019-02-01 22:30:00,3.1,3.2
2019-03-08 22:30:00,3.4,3.3
2019-04-05 21:30:00,3.2,3.4
2019-05-03 21:30:00,3.2,3.3
2019-06-07 21:30:00,3.1,3.2
2019-07-05 21:30:00,3.1,3.2
2019-08-02 21:30:00,3.3,3.1
2019-09-06 21:30:00,3.2,3.1
2019-10-04 21:30:00,3.0,3.2
2019-11-01 21:30:00,3.2,3.0
2019-12-06 22:30:00,3.1,3.0
2020-01-10 22:30:00,3.0,3.1
2020-02-07 22:30:00,3.1,3.0
2020-03-06 22:30:00,3.0,3.0
2020-04-03 21:30:00,3.3,3.0
2020-05-08 21:30:00,8.0,3.3
2020-06-05 21:30:00,6.6,8.5
2020-07-02 21:30:00,4.9,5.3
2020-08-07 21:30:00,4.7,4.1
2020-09-04 21:30:00,4.6,4.5
2020-10-02 21:30:00,4.6,4.8
2020-11-06 22:30:00,4.4,4.6
2020-12-04 22:30:00,4.4,4.3
2021-01-08 22:30:00,5.4,4.4
2021-02-05 22:30:00,5.3,5.1
2021-03-05 22:30:00,5.2,5.3
2021-04-02 21:30:00,4.2,4.5
2021-05-07 21:30:00,0.4,-0.4
2021-06-04 21:30:00,1.9,1.6
2021-07-02 21:30:00,3.7,3.7
2021-08-06 21:30:00,4.1,3.8
2021-09-03 21:30:00,4.0,4.0
2021-10-08 21:30:00,4.6,4.6
2021-11-05 21:30:00,4.8,4.9
2021-12-03 22:30:00,5.1,5.0
2022-01-07 22:30:00,5.0,4.2
2022-02-04 22:30:00,5.5,5.2
2022-03-04 22:30:00,5.2,5.8
2022-04-01 21:30:00,5.6,5.5
2022-05-06 21:30:00,5.5,5.5
2022-06-03 21:30:00,5.3,5.2
2022-07-08 21:30:00,5.2,5.0
2022-08-05 21:30:00,5.2,4.9
2022-09-02 21:30:00,5.2,5.3
2022-10-07 21:30:00,5.0,5.1
2022-11-04 21:30:00,4.9,4.7
2022-12-02 22:30:00,4.8,4.6
2023-01-06 22:30:00,4.8,5.0
2023-02-03 22:30:00,4.4,4.3
